time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.6417109523612967e-08,5.4800120880545805e-08,10.004415898472699,6.282767021355527,6.282822729917168,0.0,1.6141150357529243e-05,-1.4357343630039103e-05,0.14718826697321732,-0.026980961484267152,-0.022257609953452752,0.0,452.7741608145988,450.9803344882216,452.4572123115372,450.28023737815937
0.12000000000000001,1.4966899377443134e-05,-1.5966116143784927e-05,10.018444350325689,6.281952730332275,6.28144458598684,0.0,0.0006349312999475796,-0.0006474359421729018,0.32039323968553507,0.004819194973840035,-0.02443118713457054,0.0,459.82929489066447,459.65708267362197,458.1533496838579,460.67435013698116
0.18,9.037890671777544e-05,-7.68604412901774e-05,10.038648546871135,6.281961515175293,6.280188344612139,0.0,0.0020033319220531913,-0.0013666369011638704,0.3530698912631568,-0.011389069767311723,-0.014733981756434799,0.0,413.23001369394507,414.0837696443962,417.2630082957837,415.8458735731745
0.23999999999999996,0.00027806069615984614,-0.00018760718427179697,10.063608407626308,6.281469557122467,6.279550756072769,0.0,0.0043319848783078905,-0.0023863535144737825,0.47888017499032254,-0.0024809496820811412,-0.0034690022318875115,0.0,445.2818899601715,446.20244710892257,444.2247063256051,444.9545734597068
0.3,0.0006372730050765001,-0.00037636576198104416,10.101752766948492,6.282179693057582,6.279457818952984,0.0,0.007660934116827202,-0.0038552864343223796,0.7924345275563374,0.031081934277379576,0.0020386768169557566,0.0,499.98316333924276,500.3842414207035,499.3496056378805,501.7915645541752
0.36000000000000004,0.0011723317155739417,-0.0006209105925760516,10.151991724838117,0.0010738302003323597,6.279201561459306,0.0,0.010176191712402966,-0.0040971842547130165,0.882132105052659,0.04098900516510528,-0.021513244864860316,0.0,435.26060999256543,433.28539493091847,433.86243491348586,434.6938500835211
0.4200000000000001,0.0018686381011153465,-0.0008354553947757628,10.207701688886768,0.003571875531751978,6.278391619147094,0.0,0.013136158637646401,-0.0028042573127904863,0.9747909407830377,0.04289366949258521,-0.0009834448185011566,0.0,434.09124175213014,435.81044365764717,435.70973561586504,435.8698873571972
0.48000000000000015,0.00274905894669368,-0.0009259863158819452,10.267718770761261,0.0062051180744120416,6.2782184801957985,0.0,0.016221689707121543,3.3095175584539225e-05,1.0257326875594108,0.04580363632277642,-0.006991070677971207,0.0,422.05636482295733,421.5376592249792,422.1344922296039,422.3866896576636
0.5400000000000001,0.0038305742235550757,-0.0007798445599505171,10.333084917299614,0.008863070569811171,6.2773405320010855,0.0,0.01988857346454392,0.0051243180680306515,1.1530164440270532,0.041107517701093665,-0.03784921237225924,0.0,447.6536558465078,445.1358640920131,446.89316960840046,446.51136822318574
0.6000000000000002,0.005138754512182668,-0.00030135497816414776,10.402929734422978,0.010817947075933532,6.27480118590252,0.0,0.02393310933019135,0.0110354123632932,1.175117966680444,0.004152081351457539,-0.05323975306815354,0.0,413.0249773373619,411.6643128248289,414.919144295119,411.6627239536776
0.6600000000000003,0.006808905082373403,0.0006448043368089948,10.48185801727323,0.011528559011845019,6.271497796324621,0.0,0.03215352698452596,0.020565721740867435,1.4555060905269743,0.02395764732721992,-0.05896127601336154,0.0,492.23759782922474,491.81233071990164,491.63655125913044,493.1015460881828
0.7200000000000003,0.009033846010722768,0.0021612659895472912,10.575486735767853,0.012904216768448329,6.26792497363051,0.0,0.04242797325169373,0.030145981617554257,1.665161971563371,0.02078388078605976,-0.060744567659276785,0.0,472.34288242509035,472.20308109152705,472.8312683225808,472.58672839654474
0.7800000000000004,0.011898930052970151,0.004233743908611157,10.677799792507367,0.014359505409301754,6.264581721165436,0.0,0.05341743204504827,0.039069521359306726,1.7451463830139462,0.030421800539824198,-0.047204886346506214,0.0,432.5181650016861,433.6546411090821,433.0983749099706,433.90827191776157
0.8400000000000004,0.0155288609181166,0.0069057414898789455,10.787108634807357,0.016695688201561865,6.262407862984961,0.0,0.06784393116080917,0.050226225319293716,1.8982305900360095,0.052060215183752444,-0.020313693040274063,0.0,455.75063807032876,457.8940470132443,455.17880171520136,456.90772927222116
0.9000000000000005,0.019998366213799232,0.010247866136697833,10.902342191391634,0.01928762753921376,6.261426550713576,0.0,0.08124012486219692,0.06145692719313284,1.94280504586047,0.012327785597777145,-0.009426430205341473,0.0,421.78938077462794,422.7285920154613,424.6930081731537,421.27245341102173
0.9600000000000005,0.02527689938867128,0.014295640804224328,11.019732037782877,0.02105035365338548,6.260502772116784,0.0,0.09477404598101365,0.0735933805958458,1.9701380980049874,0.05100874516080318,-0.03133509955814028,0.0,418.23626405499766,416.32385194459704,415.20115666757744,418.58109937222537
1.0200000000000005,0.031427568554174,0.01914797683250063,11.140482702109807,0.023698034877971175,6.2594128543983345,0.0,0.11038453534286316,0.08843815888291738,2.054724526078004,0.02452802696412521,-6.619498474405225e-06,0.0,434.18633435420134,436.8065580986007,437.4063328630975,435.19663928603103
1.0800000000000005,0.03858055205760237,0.024989600486806863,11.268434167540729,0.02530988179884819,6.2600579696742304,0.0,0.12799905811862064,0.10644579047541525,2.210032289408628,0.03116822125472334,0.02644052454971409,0.0,456.99143410934767,459.0945140163701,458.22224233670613,458.7499164758698
1.1400000000000006,0.04669961326619539,0.03186979412111144,11.402607525978812,0.026734221558597504,6.261483529811795,0.0,0.14248978676015703,0.1230544702041528,2.2623084336373798,0.0015938016740597982,0.017771364004757387,0.0,427.67023691788603,426.9313182970569,426.8636520374131,424.3325744467259
